IDMessage;Battery;Value;Delta;Origin
0;B0;3.09;0.00;3.090
0;B1;3.13;0.00;3.130
0;B2;3.17;0.00;3.170
0;B3;3.17;0.00;3.170
0;B4;3.20;0.00;3.200
0;B5;3.15;0.00;3.150
watts;;   0.00;;
amps;; 0.00;;
0;B0;1.36;0.00;1.360
0;B1;0.76;0.00;0.760
0;B2;1.68;0.00;1.680
0;B3;1.65;0.00;1.650
0;B4;1.51;0.00;1.510
0;B5;1.62;0.00;1.620
watts;;   2.72;;
amps;;21.92;;
0;B0;2.89;0.00;2.890
0;B1;2.90;0.00;2.900
0;B2;2.96;0.00;2.960
0;B3;2.92;0.00;2.920
0;B4;2.95;0.00;2.950
0;B5;2.92;0.00;2.920
watts;;   3.37;;
amps;; 0.00;;
0;B0;2.91;0.00;2.910
0;B1;2.92;0.00;2.920
0;B2;2.96;0.00;2.960
0;B3;2.95;0.00;2.950
0;B4;2.98;0.00;2.980
0;B5;2.94;0.00;2.940
watts;;   3.37;;
amps;; 0.00;;
0;B0;2.92;0.00;2.920
0;B1;2.94;0.00;2.940
0;B2;2.97;0.00;2.970
0;B3;2.96;0.00;2.960
0;B4;3.00;0.00;3.000
0;B5;2.95;0.00;2.950
watts;;   3.37;;
amps;; 0.00;;
0;B0;2.92;0.00;2.920
0;B1;2.93;0.00;2.930
0;B2;2.98;0.00;2.980
0;B3;2.96;0.00;2.960
0;B4;3.00;0.00;3.000
0;B5;2.95;0.00;2.950
watts;;   3.37;;
amps;; 0.00;;
0;B0;2.80;0.00;2.800
0;B1;2.78;0.00;2.780
0;B2;2.85;0.00;2.850
0;B3;2.83;0.00;2.830
0;B4;2.86;0.00;2.860
0;B5;2.84;0.00;2.840
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.87;0.00;2.870
0;B1;2.88;0.00;2.880
0;B2;2.94;0.00;2.940
0;B3;2.90;0.00;2.900
0;B4;2.94;0.00;2.940
0;B5;2.91;0.00;2.910
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.90;0.00;2.900
0;B1;2.91;0.00;2.910
0;B2;2.94;0.00;2.940
0;B3;2.92;0.00;2.920
0;B4;2.96;0.00;2.960
0;B5;2.92;0.00;2.920
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.91;0.00;2.910
0;B1;2.93;0.00;2.930
0;B2;2.97;0.00;2.970
0;B3;2.94;0.00;2.940
0;B4;2.99;0.00;2.990
0;B5;2.94;0.00;2.940
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.93;0.00;2.930
0;B1;2.94;0.00;2.940
0;B2;2.99;0.00;2.990
0;B3;2.95;0.00;2.950
0;B4;2.99;0.00;2.990
0;B5;2.95;0.00;2.950
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.93;0.00;2.930
0;B1;2.95;0.00;2.950
0;B2;3.00;0.00;3.000
0;B3;2.96;0.00;2.960
0;B4;3.00;0.00;3.000
0;B5;2.96;0.00;2.960
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.94;0.00;2.940
0;B1;2.96;0.00;2.960
0;B2;2.99;0.00;2.990
0;B3;2.97;0.00;2.970
0;B4;3.00;0.00;3.000
0;B5;2.97;0.00;2.970
watts;;   5.15;;
amps;; 0.00;;
0;B0;2.53;0.00;2.530
0;B1;2.37;0.00;2.370
0;B2;2.72;0.00;2.720
0;B3;2.64;0.00;2.640
0;B4;2.64;0.00;2.640
0;B5;2.63;0.00;2.630
watts;;   5.15;;
amps;; 0.00;;
0;B0;1.28;0.00;1.280
0;B1;0.60;0.00;0.600
0;B2;1.60;0.00;1.600
0;B3;1.54;0.00;1.540
0;B4;1.41;0.00;1.410
0;B5;1.57;0.00;1.570
watts;;  12.50;;
amps;;24.14;;
0;B0;1.42;0.00;1.420
0;B1;0.79;0.00;0.790
0;B2;1.74;0.00;1.740
0;B3;1.67;0.00;1.670
0;B4;1.56;0.00;1.560
0;B5;1.70;0.00;1.700
watts;;  19.10;;
amps;;20.31;;
0;B0;1.39;0.00;1.390
0;B1;0.75;0.00;0.750
0;B2;1.71;0.00;1.710
0;B3;1.64;0.00;1.640
0;B4;1.52;0.00;1.520
0;B5;1.68;0.00;1.680
watts;;  24.55;;
amps;;20.75;;
0;B0;1.05;0.00;1.050
0;B1;0.27;0.00;0.270
0;B2;1.43;0.00;1.430
0;B3;1.37;0.00;1.370
0;B4;1.21;0.00;1.210
0;B5;1.37;0.00;1.370
watts;;  28.03;;
amps;;28.70;;
0;B0;2.63;0.00;2.630
0;B1;2.51;0.00;2.510
0;B2;2.71;0.00;2.710
0;B3;2.67;0.00;2.670
0;B4;2.68;0.00;2.680
0;B5;2.70;0.00;2.700
watts;;  32.18;;
amps;; 0.00;;
0;B0;2.69;0.00;2.690
0;B1;2.61;0.00;2.610
0;B2;2.77;0.00;2.770
0;B3;2.73;0.00;2.730
0;B4;2.74;0.00;2.740
0;B5;2.76;0.00;2.760
watts;;  32.18;;
amps;; 0.00;;
0;B0;1.00;0.00;1.000
0;B1;0.25;0.00;0.250
0;B2;1.38;0.00;1.380
0;B3;1.33;0.00;1.330
0;B4;1.15;0.00;1.150
0;B5;1.33;0.00;1.330
watts;;  34.01;;
amps;;29.31;;
0;B0;1.49;0.00;1.490
0;B1;0.87;0.00;0.870
0;B2;1.79;0.00;1.790
0;B3;1.73;0.00;1.730
0;B4;1.61;0.00;1.610
0;B5;1.73;0.00;1.730
watts;;  43.48;;
amps;; 0.00;;
0;B0;1.14;0.00;1.140
0;B1;0.42;0.00;0.420
0;B2;1.48;0.00;1.480
0;B3;1.43;0.00;1.430
0;B4;1.28;0.00;1.280
0;B5;1.46;0.00;1.460
watts;;  44.70;;
amps;;26.53;;
0;B0;2.55;0.00;2.550
0;B1;2.41;0.00;2.410
0;B2;2.66;0.00;2.660
0;B3;2.60;0.00;2.600
0;B4;2.60;0.00;2.600
0;B5;2.64;0.00;2.640
watts;;  49.36;;
amps;; 0.00;;
0;B0;2.21;0.00;2.210
0;B1;1.89;0.00;1.890
0;B2;2.36;0.00;2.360
0;B3;2.31;0.00;2.310
0;B4;2.27;0.00;2.270
0;B5;2.34;0.00;2.340
watts;;  49.36;;
amps;; 0.00;;
0;B0;2.67;0.00;2.670
0;B1;2.56;0.00;2.560
0;B2;2.76;0.00;2.760
0;B3;2.71;0.00;2.710
0;B4;2.71;0.00;2.710
0;B5;2.74;0.00;2.740
watts;;  50.98;;
amps;; 0.00;;
0;B0;2.71;0.00;2.710
0;B1;2.62;0.00;2.620
0;B2;2.78;0.00;2.780
0;B3;2.74;0.00;2.740
0;B4;2.75;0.00;2.750
0;B5;2.78;0.00;2.780
watts;;  50.00;;
amps;; 0.00;;
0;B0;2.58;0.00;2.580
0;B1;2.46;0.00;2.460
0;B2;2.69;0.00;2.690
0;B3;2.64;0.00;2.640
0;B4;2.64;0.00;2.640
0;B5;2.65;0.00;2.650
watts;;  50.98;;
amps;; 0.00;;
0;B0;1.39;0.00;1.390
0;B1;0.83;0.00;0.830
0;B2;1.70;0.00;1.700
0;B3;1.65;0.00;1.650
0;B4;1.53;0.00;1.530
0;B5;1.64;0.00;1.640
watts;;   5.00;;
amps;;24.98;;
0;B0;2.64;0.00;2.640
0;B1;2.51;0.00;2.510
0;B2;2.70;0.00;2.700
0;B3;2.66;0.00;2.660
0;B4;2.67;0.00;2.670
0;B5;2.69;0.00;2.690
watts;;  57.20;;
amps;; 0.00;;
0;B0;2.57;0.00;2.570
0;B1;2.43;0.00;2.430
0;B2;2.65;0.00;2.650
0;B3;2.61;0.00;2.610
0;B4;2.60;0.00;2.600
0;B5;2.65;0.00;2.650
watts;;  61.77;;
amps;; 0.00;;
0;B0;2.68;0.00;2.680
0;B1;2.59;0.00;2.590
0;B2;2.77;0.00;2.770
0;B3;2.71;0.00;2.710
0;B4;2.72;0.00;2.720
